tradCues1,tradCues2
保護,保护
傷心,伤心
優雅,优雅
內褲,内裤
勇氣,勇气
危險,危险
厭惡,厌恶
受傷,受伤
可愛,可爱
和藹,和蔼
和諧,和谐
品質,品质
問題,问题
喜歡,喜欢
噁心,恶心
嚴厲,严厉
嚴肅,严肃
嚴謹,严谨
困難,困难
堅持,坚持
場所,场所
壓力,压力
壞人,坏人
夢境,梦境
夢想,梦想
失敗,失败
契約,契约
學校,学校
學生,学生
學習,学习
安靜,安静
實際,实际
寶貝,宝贝
帥,帅
強壯,强壮
後悔,后悔
快樂,快乐
思維,思维
恐懼,恐惧
悲傷,悲伤
情緒,情绪
愛,爱
愛好,爱好
愛心,爱心
愛情,爱情
愛意,爱意
憂鬱,忧郁
憤怒,愤怒
戀愛,恋爱
戰爭,战争
戰鬥,战斗
承諾,承诺
拒絕,拒绝
擁抱,拥抱
收穫,收获
放棄,放弃
整齊,整齐
時間,时间
東西,东西
柔軟,柔软
歲月,岁月
歷史,历史
母親,母亲
氣息,气息
沒有,没有
涼爽,凉爽
清潔,清洁
溫暖,温暖
溫柔,温柔
無用,无用
無聊,无聊
焦慮,焦虑
煩,烦
煩躁,烦躁
熱鬧,热闹
特別,特别
生氣,生气
疑問,疑问
發展,发展
監獄,监狱
真實,真实
眼淚,眼泪
知識,知识
破壞,破坏
禮貌,礼貌
窮,穷
答應,答应
約定,约定
結構,结构
綁架,绑架
緊張,紧张
罪惡,罪恶
美麗,美丽
聰明,聪明
自殺,自杀
興奮,兴奋
興趣,兴趣
藝術,艺术
衝突,冲突
複雜,复杂
視野,视野
親吻,亲吻
討厭,讨厌
誇獎,夸奖
說謊,说谎
豐富,丰富
財產,财产
貧窮,贫穷
資源,资源
質量,质量
賭博,赌博
賺錢,赚钱
遊戲,游戏
運動,运动
過敏,过敏
錢,钱
錯,错
錯誤,错误
開心,开心
陽光,阳光
隔離,隔离
隨便,随便
離開,离开
難度,难度
難過,难过
音樂,音乐
髒,脏
高興,高兴
麻煩,麻烦
黃金,黄金
